human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
ACKR3,ackr3a,17,19,2,4,89.47,100.0
ACKR3,ackr3b,15,15,0,8,100.0,100.0
ACKR4,ackr4b,18,21,5,2,78.26,91.3
ADCYAP1R1,adcyap1r1a,24,24,0,0,100.0,100.0
ADGRA1,adgra1a,14,17,7,2,66.67,80.95
ADGRA2,adgra2,12,19,9,0,57.14,90.48
ADGRA3,adgra3,14,19,10,2,58.33,79.17
ADGRB1,adgrb1a,25,25,0,1,100.0,100.0
ADGRB1,adgrb1b,24,24,0,2,100.0,100.0
ADGRB2,adgrb2,22,22,0,4,100.0,100.0
ADGRB3,adgrb3,22,22,0,1,100.0,100.0
ADGRD1,adgrd1,1,6,14,10,6.67,40.0
ADGRD2,adgrd2,18,21,3,2,85.71,100.0
ADGRE5,adgre5a,0,1,3,23,0.0,33.33
ADGRE5,adgre5b.2,14,18,6,6,70.0,90.0
ADGRE5,adgre5b.3,8,10,5,13,61.54,76.92
ADGRF3,adgrf3a,9,12,4,10,69.23,92.31
ADGRF3,adgrf3b,6,8,5,12,54.55,72.73
ADGRG1,adgrg1,8,10,9,11,47.06,58.82
ADGRG2,adgrg2a,16,17,2,10,88.89,94.44
ADGRG6,adgrg6,11,15,6,9,64.71,88.24
ADGRG7,adgrg7.2,6,9,4,15,60.0,90.0
ADGRL1,adgrl1a,19,21,2,2,90.48,100.0
ADGRL2,adgrl2a,19,21,2,1,90.48,100.0
ADGRL2,adgrl2b.1,0,1,7,15,0.0,14.29
ADGRL3,adgrl3.1,20,20,0,2,100.0,100.0
ADGRL4,adgrl4,21,22,2,2,91.3,95.65
ADORA1,adora1b,21,24,3,0,87.5,100.0
ADORA2A,adora2aa,23,25,2,0,92.0,100.0
ADORA2A,adora2ab,19,22,3,3,86.36,100.0
ADORA2B,adora2b,22,25,3,0,88.0,100.0
ADRA1A,adra1aa,20,23,4,1,83.33,95.83
ADRA1A,adra1ab,20,22,3,2,86.96,95.65
ADRA1B,adra1ba,23,23,0,1,100.0,100.0
ADRA1B,adra1bb,21,21,1,2,95.45,95.45
ADRA1D,adra1d,18,23,5,2,78.26,100.0
ADRA2A,adra2a,22,24,2,0,91.67,100.0
ADRA2B,adra2b,23,24,1,1,95.83,100.0
ADRA2C,adra2c,23,24,2,0,92.0,96.0
ADRB1,adrb1,22,23,2,0,91.67,95.83
ADRB2,adrb2a,24,24,1,1,96.0,96.0
ADRB2,adrb2b,24,25,1,1,96.0,100.0
ADRB3,adrb3a,21,24,4,1,84.0,96.0
ADRB3,adrb3b,19,23,5,2,79.17,95.83
AGTR1,agtr1a,11,14,4,9,73.33,93.33
AGTR1,agtr1b,10,13,4,10,71.43,92.86
AGTR2,agtr2,13,14,1,13,92.86,100.0
APLNR,aplnra,21,21,5,0,80.77,80.77
APLNR,aplnrb,18,20,7,1,72.0,80.0
AVPR1A,avpr1aa,18,21,4,2,81.82,95.45
AVPR1A,avpr1ab,20,22,4,0,83.33,91.67
AVPR2,avpr2aa,10,13,3,7,76.92,100.0
AVPR2,avpr2ab,9,13,4,7,69.23,100.0
BDKRB1,bdkrb1,10,14,8,7,55.56,77.78
C5AR1,c5ar1,10,20,12,2,45.45,90.91
CALCR,calcr,20,20,2,4,90.91,90.91
CALCRL,calcrla,21,23,3,0,87.5,95.83
CALCRL,calcrlb,19,21,3,2,86.36,95.45
CASR,casr,22,23,1,1,95.65,100.0
CCKAR,cckar,21,22,2,2,91.3,95.65
CCKBR,cckbra,17,23,6,1,73.91,100.0
CCR10,ccr10,7,13,12,6,36.84,68.42
CCR2,ccr2,17,22,6,2,73.91,95.65
CCR6,ccr6a,4,4,2,16,66.67,66.67
CCR6,ccr6b,9,13,7,6,56.25,81.25
CCR7,ccr7,17,20,5,0,77.27,90.91
CCR8,ccr8.1,15,20,10,4,60.0,80.0
CCR9,ccr9a,0,1,1,27,0.0,100.0
CCR9,ccr9b,9,10,6,13,60.0,66.67
CELSR1,celsr1a,0,1,2,1,0.0,50.0
CELSR1,celsr1b,0,1,1,2,0.0,100.0
CELSR3,celsr3,0,3,4,4,0.0,75.0
CHRM1,chrm1a,21,21,1,2,95.45,95.45
CHRM2,chrm2a,19,21,3,1,86.36,95.45
CHRM2,chrm2b,21,23,2,0,91.3,100.0
CHRM3,chrm3a,21,22,2,0,91.3,95.65
CHRM3,chrm3b,21,21,0,2,100.0,100.0
CHRM4,chrm4a,25,25,0,1,100.0,100.0
CHRM4,chrm4b,21,24,4,1,84.0,96.0
CHRM5,chrm5a,21,21,0,2,100.0,100.0
CHRM5,chrm5b,20,21,1,2,95.24,100.0
CMKLR1,cmklr1,15,20,8,2,65.22,86.96
CMKLR2,cmklr2,9,15,6,9,60.0,100.0
CNR1,cnr1,17,20,3,2,85.0,100.0
CNR2,cnr2,12,19,9,0,57.14,90.48
CRHR1,crhr1,19,19,1,8,95.0,95.0
CRHR2,crhr2,0,0,0,28,0.0,0.0
CXCR1,cxcr1,16,20,4,4,80.0,100.0
CXCR2,cxcr2,16,22,6,2,72.73,100.0
CXCR3,cxcr3.1,1,5,5,17,16.67,83.33
CXCR3,cxcr3.2,14,19,6,3,70.0,95.0
CXCR4,cxcr4a,17,17,0,6,100.0,100.0
CXCR4,cxcr4b,19,21,3,1,86.36,95.45
CXCR5,cxcr5,13,17,9,2,59.09,77.27
CYSLTR1,cysltr1,20,24,6,1,76.92,92.31
DRD1,drd1a,24,24,0,1,100.0,100.0
DRD1,drd1b,23,24,1,1,95.83,100.0
DRD2,drd2a,23,23,0,2,100.0,100.0
DRD2,drd2b,24,24,0,1,100.0,100.0
DRD3,drd3,17,20,3,4,85.0,100.0
DRD4,drd4a,21,21,0,0,100.0,100.0
DRD4,drd4b,19,20,1,1,95.0,100.0
EDNRA,ednraa,1,2,2,25,33.33,66.67
EDNRA,ednrab,24,26,2,2,92.31,100.0
EDNRB,ednrba,22,23,1,1,95.65,100.0
EDNRB,ednrbb,23,23,0,1,100.0,100.0
F2R,f2r,14,18,5,9,73.68,94.74
F2RL1,f2rl1.1,15,23,11,3,57.69,88.46
F2RL1,f2rl1.2,19,23,7,3,73.08,88.46
F2RL2,f2rl2,8,11,8,12,50.0,68.75
FPR1,fpr1,3,6,3,19,50.0,100.0
FSHR,fshr,1,1,1,21,50.0,50.0
FZD1,fzd1,26,27,1,0,96.3,100.0
FZD10,fzd10,26,27,1,0,96.3,100.0
FZD2,fzd2,27,27,0,0,100.0,100.0
FZD3,fzd3a,24,25,2,0,92.31,96.15
FZD3,fzd3b,23,25,3,0,88.46,96.15
FZD4,fzd4,26,26,0,1,100.0,100.0
FZD5,fzd5,22,25,4,0,84.62,96.15
FZD6,fzd6,21,24,4,3,84.0,96.0
FZD7,fzd7a,26,26,0,0,100.0,100.0
FZD7,fzd7b,26,26,0,0,100.0,100.0
FZD8,fzd8a,25,26,1,0,96.15,100.0
FZD8,fzd8b,20,23,5,1,80.0,92.0
FZD9,fzd9a,23,25,2,2,92.0,100.0
FZD9,fzd9b,23,26,3,1,88.46,100.0
GABBR1,gabbr1a,23,23,0,3,100.0,100.0
GABBR1,gabbr1b,23,24,1,2,95.83,100.0
GABBR2,gabbr2,24,24,0,2,100.0,100.0
GALR1,galr1a,21,24,4,0,84.0,96.0
GALR1,galr1b,17,21,6,2,73.91,91.3
GALR2,galr2a,21,23,3,1,87.5,95.83
GALR2,galr2b,17,25,8,0,68.0,100.0
GCGR,gcgra,12,14,4,10,75.0,87.5
GCGR,gcgrb,19,21,5,2,79.17,87.5
GHRHR,ghrhra,14,20,7,5,66.67,95.24
GHRHR,ghrhrb,6,11,5,15,54.55,100.0
GHSR,ghsra,23,25,2,0,92.0,100.0
GHSR,ghsrb,22,24,3,0,88.0,96.0
GIPR,gipr,21,24,3,2,87.5,100.0
GPBAR1,gpbar1,5,13,9,8,35.71,92.86
GPER1,gper1,18,20,3,1,85.71,95.24
GPR101,gpr101,15,20,5,5,75.0,100.0
GPR12,gpr12,20,21,1,2,95.24,100.0
GPR132,gpr132a,2,2,0,26,100.0,100.0
GPR132,gpr132b,15,17,2,11,88.24,100.0
GPR135,gpr135,20,22,4,1,83.33,91.67
GPR139,gpr139,20,22,2,3,90.91,100.0
GPR142,gpr142,12,21,11,1,52.17,91.3
GPR146,gpr146,12,14,4,9,75.0,87.5
GPR151,gpr151,12,20,12,5,50.0,83.33
GPR153,gpr153,19,22,4,5,82.61,95.65
GPR156,gpr156,4,8,7,10,36.36,72.73
GPR158,gpr158a,4,4,0,22,100.0,100.0
GPR158,gpr158b,19,21,3,4,86.36,95.45
GPR160,gpr160,4,9,11,7,26.67,60.0
GPR161,gpr161b,19,23,5,2,79.17,95.83
GPR17,gpr17,15,27,14,1,51.72,93.1
GPR171,gpr171,15,20,6,6,71.43,95.24
GPR173,gpr173,20,23,4,0,83.33,95.83
GPR174,gpr174,18,23,6,5,75.0,95.83
GPR176,gpr176,15,20,7,3,68.18,90.91
GPR18,gpr18,18,24,7,2,72.0,96.0
GPR183,gpr183a,18,25,10,0,64.29,89.29
GPR183,gpr183b,16,24,12,0,57.14,85.71
GPR19,gpr19,17,22,5,0,77.27,100.0
GPR20,gpr20,22,24,4,0,84.62,92.31
GPR22,gpr22a,26,27,2,1,92.86,96.43
GPR22,gpr22b,25,26,2,2,92.59,96.3
GPR25,gpr25,11,16,8,9,57.89,84.21
GPR26,gpr26,20,21,3,3,86.96,91.3
GPR27,gpr27,15,21,7,0,68.18,95.45
GPR3,gpr3,15,19,7,0,68.18,86.36
GPR34,gpr34a,20,25,7,0,74.07,92.59
GPR34,gpr34b,5,7,2,20,71.43,100.0
GPR35,gpr35.1,15,22,7,4,68.18,100.0
GPR37,gpr37a,22,24,3,0,88.0,96.0
GPR37,gpr37b,0,1,5,20,0.0,20.0
GPR37L1,gpr37l1a,14,21,9,2,60.87,91.3
GPR37L1,gpr37l1b,18,24,7,0,72.0,96.0
GPR39,gpr39,13,16,5,5,72.22,88.89
GPR4,gpr4,24,27,3,1,88.89,100.0
GPR45,gpr45,21,24,3,2,87.5,100.0
GPR52,gpr52,20,20,0,1,100.0,100.0
GPR55,gpr55a,9,19,14,3,39.13,82.61
GPR6,gpr6,17,20,3,3,85.0,100.0
GPR61,gpr61,19,22,3,0,86.36,100.0
GPR63,gpr63,16,21,6,1,72.73,95.45
GPR65,gpr65,11,16,9,6,55.0,80.0
GPR75,gpr75,23,24,1,1,95.83,100.0
GPR78,gpr78a,12,21,10,4,54.55,95.45
GPR78,gpr78b,14,19,6,6,70.0,95.0
GPR84,gpr84,20,24,4,2,83.33,100.0
GPR85,gpr85,20,23,4,0,83.33,95.83
GPRC5B,gprc5ba,14,24,14,2,50.0,85.71
GPRC5B,gprc5bb,13,20,12,5,52.0,80.0
GPRC5C,gprc5c,13,21,10,3,56.52,91.3
GPRC6A,gprc6a,19,23,7,1,73.08,88.46
GRM1,grm1a,10,10,0,12,100.0,100.0
GRM1,grm1b,0,1,1,21,0.0,100.0
GRM2,grm2a,25,25,1,0,96.15,96.15
GRM2,grm2b,24,24,1,1,96.0,96.0
GRM3,grm3,24,24,0,3,100.0,100.0
GRM4,grm4,22,22,0,3,100.0,100.0
GRM5,grm5a,21,21,0,1,100.0,100.0
GRM5,grm5b,0,2,3,19,0.0,66.67
GRM6,grm6a,19,22,3,2,86.36,100.0
GRM6,grm6b,22,24,2,0,91.67,100.0
GRM8,grm8a,22,22,0,3,100.0,100.0
GRM8,grm8b,25,25,0,0,100.0,100.0
HCAR1,hcar1-1,17,25,9,1,65.38,96.15
HCAR1,hcar1-2,16,23,8,3,66.67,95.83
HCRTR2,hcrtr2,21,23,3,1,87.5,95.83
HRH1,hrh1,0,2,4,20,0.0,50.0
HRH2,hrh2a,19,22,3,3,86.36,100.0
HRH2,hrh2b,20,21,3,2,86.96,91.3
HRH3,hrh3,20,23,3,1,86.96,100.0
HTR1A,htr1aa,23,23,1,2,95.83,95.83
HTR1A,htr1ab,24,24,0,2,100.0,100.0
HTR1B,htr1b,22,23,1,1,95.65,100.0
HTR1D,htr1d,20,22,2,2,90.91,100.0
HTR1F,htr1fa,21,24,3,1,87.5,100.0
HTR1F,htr1fb,23,24,1,1,95.83,100.0
HTR2A,htr2ab,21,22,2,1,91.3,95.65
HTR2B,htr2b,17,20,4,3,80.95,95.24
HTR4,htr4,24,24,1,0,96.0,96.0
HTR5A,htr5aa,19,19,0,2,100.0,100.0
HTR5A,htr5ab,19,19,0,2,100.0,100.0
HTR6,htr6,21,23,2,2,91.3,100.0
HTR7,htr7a,23,24,1,0,95.83,100.0
KISS1R,kiss1ra,14,22,9,1,60.87,95.65
KISS1R,kiss1rb,14,18,5,5,73.68,94.74
LGR4,lgr4,13,17,5,6,72.22,94.44
LGR6,lgr6,14,18,6,4,70.0,90.0
LHCGR,lhcgr,1,1,0,21,100.0,100.0
LPAR1,lpar1,25,26,1,0,96.15,100.0
LPAR2,lpar2a,20,23,4,1,83.33,95.83
LPAR2,lpar2b,20,23,3,2,86.96,100.0
LPAR3,lpar3,22,23,1,3,95.65,100.0
