human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,5,9,8,35.71
ACKR3,ackr3b,12,7,3,63.16
ACKR4,ackr4b,8,8,3,50.0
ADCYAP1R1,adcyap1r1a,1,11,11,8.33
ADGRA1,adgra1a,8,3,1,72.73
ADGRA2,adgra2,0,6,19,0.0
ADGRA3,adgra3,2,5,5,28.57
ADGRB1,adgrb1a,13,1,5,92.86
ADGRB1,adgrb1b,16,1,2,94.12
ADGRB2,adgrb2,13,0,2,100.0
ADGRB3,adgrb3,2,10,14,16.67
ADGRD1,adgrd1,2,8,17,20.0
ADGRD2,adgrd2,2,9,6,18.18
ADGRE5,adgre5a,0,5,18,0.0
ADGRE5,adgre5b.2,1,11,11,8.33
ADGRE5,adgre5b.3,1,10,12,9.09
ADGRF3,adgrf3a,0,16,12,0.0
ADGRF3,adgrf3b,2,10,16,16.67
ADGRG1,adgrg1,0,8,10,0.0
ADGRG2,adgrg2a,0,7,14,0.0
ADGRG6,adgrg6,8,3,9,72.73
ADGRG7,adgrg7.2,0,13,12,0.0
ADGRL1,adgrl1a,0,8,11,0.0
ADGRL2,adgrl2a,4,5,8,44.44
ADGRL2,adgrl2b.1,0,0,17,0.0
ADGRL3,adgrl3.1,14,2,1,87.5
ADGRL4,adgrl4,0,7,16,0.0
ADORA1,adora1b,3,4,2,42.86
ADORA2A,adora2aa,0,9,13,0.0
ADORA2A,adora2ab,0,4,18,0.0
ADORA2B,adora2b,14,2,4,87.5
ADRA1A,adra1aa,4,7,10,36.36
ADRA1A,adra1ab,2,7,12,22.22
ADRA1B,adra1ba,1,7,12,12.5
ADRA1B,adra1bb,0,7,13,0.0
ADRA1D,adra1d,1,3,17,25.0
ADRA2A,adra2a,4,12,12,25.0
ADRA2B,adra2b,0,12,10,0.0
ADRA2C,adra2c,4,5,9,44.44
ADRB1,adrb1,1,5,14,16.67
ADRB2,adrb2a,11,4,1,73.33
ADRB2,adrb2b,7,3,6,70.0
ADRB3,adrb3a,2,11,11,15.38
ADRB3,adrb3b,1,7,16,12.5
AGTR1,agtr1a,1,5,15,16.67
AGTR1,agtr1b,0,12,9,0.0
AGTR2,agtr2,0,12,11,0.0
APLNR,aplnra,0,11,9,0.0
APLNR,aplnrb,0,11,9,0.0
AVPR1A,avpr1aa,1,10,11,9.09
AVPR1A,avpr1ab,0,7,15,0.0
AVPR2,avpr2aa,2,8,10,20.0
AVPR2,avpr2ab,0,5,15,0.0
BDKRB1,bdkrb1,8,9,2,47.06
C5AR1,c5ar1,4,5,9,44.44
CALCR,calcr,5,1,9,83.33
CALCRL,calcrla,1,9,4,10.0
CALCRL,calcrlb,7,4,3,63.64
CASR,casr,10,4,11,71.43
CCKAR,cckar,10,5,2,66.67
CCKBR,cckbra,15,3,2,83.33
CCR10,ccr10,3,8,11,27.27
CCR2,ccr2,0,8,14,0.0
CCR6,ccr6a,0,9,14,0.0
CCR6,ccr6b,0,8,15,0.0
CCR7,ccr7,11,6,4,64.71
CCR8,ccr8.1,12,5,5,70.59
CCR9,ccr9a,7,10,3,41.18
CCR9,ccr9b,4,9,7,30.77
CELSR1,celsr1a,0,0,0,0.0
CELSR1,celsr1b,0,0,0,0.0
CELSR3,celsr3,1,0,3,100.0
CHRM1,chrm1a,1,17,6,5.56
CHRM2,chrm2a,20,0,3,100.0
CHRM2,chrm2b,7,5,11,58.33
CHRM3,chrm3a,8,7,10,53.33
CHRM3,chrm3b,20,2,3,90.91
CHRM4,chrm4a,0,10,10,0.0
CHRM4,chrm4b,0,4,16,0.0
CHRM5,chrm5a,2,9,10,18.18
CHRM5,chrm5b,1,14,6,6.67
CMKLR1,cmklr1,2,8,8,20.0
CMKLR2,cmklr2,2,10,6,16.67
CNR1,cnr1,21,0,1,100.0
CNR2,cnr2,9,8,1,52.94
CRHR1,crhr1,6,0,12,100.0
CRHR2,crhr2,1,6,10,14.29
CXCR1,cxcr1,7,7,8,50.0
CXCR2,cxcr2,8,5,6,61.54
CXCR3,cxcr3.1,6,7,8,46.15
CXCR3,cxcr3.2,6,8,7,42.86
CXCR4,cxcr4a,13,7,3,65.0
CXCR4,cxcr4b,1,9,13,10.0
CXCR5,cxcr5,2,10,8,16.67
CYSLTR1,cysltr1,5,6,11,45.45
