human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,17,3,3,85.0
ACKR3,ackr3b,17,1,5,94.44
ACKR4,ackr4b,19,5,1,79.17
ADCYAP1R1,adcyap1r1a,24,0,0,100.0
ADGRA1,adgra1a,14,7,2,66.67
ADGRA2,adgra2,12,9,0,57.14
ADGRA3,adgra3,14,10,2,58.33
ADGRB1,adgrb1a,25,0,1,100.0
ADGRB1,adgrb1b,24,0,2,100.0
ADGRB2,adgrb2,23,2,1,92.0
ADGRB3,adgrb3,23,0,0,100.0
ADGRD1,adgrd1,1,14,10,6.67
ADGRD2,adgrd2,18,3,2,85.71
ADGRE5,adgre5a,0,4,22,0.0
ADGRE5,adgre5b.2,15,9,2,62.5
ADGRE5,adgre5b.3,9,7,10,56.25
ADGRF3,adgrf3a,10,7,6,58.82
ADGRF3,adgrf3b,8,6,9,57.14
ADGRG1,adgrg1,8,12,8,40.0
ADGRG2,adgrg2a,17,5,6,77.27
ADGRG6,adgrg6,13,6,7,68.42
ADGRG7,adgrg7.2,6,5,14,54.55
ADGRL1,adgrl1a,19,2,2,90.48
ADGRL2,adgrl2a,19,2,1,90.48
ADGRL2,adgrl2b.1,0,12,10,0.0
ADGRL3,adgrl3.1,20,0,2,100.0
ADGRL4,adgrl4,22,2,1,91.67
ADORA1,adora1b,21,3,0,87.5
ADORA2A,adora2aa,23,2,0,92.0
ADORA2A,adora2ab,19,3,3,86.36
ADORA2B,adora2b,22,3,0,88.0
ADRA1A,adra1aa,20,4,1,83.33
ADRA1A,adra1ab,20,3,2,86.96
ADRA1B,adra1ba,23,0,1,100.0
ADRA1B,adra1bb,22,1,1,95.65
ADRA1D,adra1d,18,5,2,78.26
ADRA2A,adra2a,22,2,0,91.67
ADRA2B,adra2b,23,1,1,95.83
ADRA2C,adra2c,23,2,0,92.0
ADRB1,adrb1,22,2,0,91.67
ADRB2,adrb2a,24,1,1,96.0
ADRB2,adrb2b,24,1,1,96.0
ADRB3,adrb3a,21,4,1,84.0
ADRB3,adrb3b,19,5,2,79.17
AGTR1,agtr1a,13,4,7,76.47
AGTR1,agtr1b,11,5,8,68.75
AGTR2,agtr2,16,1,10,94.12
APLNR,aplnra,21,5,0,80.77
APLNR,aplnrb,18,7,1,72.0
AVPR1A,avpr1aa,18,5,1,78.26
AVPR1A,avpr1ab,20,4,0,83.33
AVPR2,avpr2aa,10,3,7,76.92
AVPR2,avpr2ab,9,4,7,69.23
BDKRB1,bdkrb1,10,10,5,50.0
C5AR1,c5ar1,10,12,2,45.45
CALCR,calcr,22,2,2,91.67
CALCRL,calcrla,21,3,0,87.5
CALCRL,calcrlb,20,3,1,86.96
CASR,casr,22,1,1,95.65
CCKAR,cckar,21,2,2,91.3
CCKBR,cckbra,17,6,1,73.91
CCR10,ccr10,8,13,4,38.1
CCR2,ccr2,17,6,2,73.91
CCR6,ccr6a,8,4,10,66.67
CCR6,ccr6b,10,7,5,58.82
CCR7,ccr7,17,5,0,77.27
CCR8,ccr8.1,15,12,2,55.56
CCR9,ccr9a,1,4,23,20.0
CCR9,ccr9b,9,9,10,50.0
CELSR1,celsr1a,0,2,1,0.0
CELSR1,celsr1b,0,2,1,0.0
CELSR3,celsr3,0,5,3,0.0
CHRM1,chrm1a,21,1,2,95.45
CHRM2,chrm2a,19,3,1,86.36
CHRM2,chrm2b,21,2,0,91.3
CHRM3,chrm3a,21,2,0,91.3
CHRM3,chrm3b,21,0,2,100.0
CHRM4,chrm4a,25,0,1,100.0
CHRM4,chrm4b,21,4,1,84.0
CHRM5,chrm5a,21,0,2,100.0
CHRM5,chrm5b,20,1,2,95.24
CMKLR1,cmklr1,15,8,2,65.22
CMKLR2,cmklr2,10,8,6,55.56
CNR1,cnr1,17,3,2,85.0
CNR2,cnr2,12,9,0,57.14
CRHR1,crhr1,21,1,6,95.45
CRHR2,crhr2,0,0,28,0.0
CXCR1,cxcr1,16,5,3,76.19
CXCR2,cxcr2,16,6,2,72.73
CXCR3,cxcr3.1,2,10,11,16.67
CXCR3,cxcr3.2,15,6,2,71.43
CXCR4,cxcr4a,18,3,2,85.71
CXCR4,cxcr4b,19,3,1,86.36
CXCR5,cxcr5,13,9,2,59.09
CYSLTR1,cysltr1,20,6,1,76.92
DRD1,drd1a,24,0,1,100.0
DRD1,drd1b,23,1,1,95.83
DRD2,drd2a,23,0,2,100.0
DRD2,drd2b,24,0,1,100.0
DRD3,drd3,18,3,3,85.71
DRD4,drd4a,21,0,0,100.0
DRD4,drd4b,19,1,1,95.0
EDNRA,ednraa,1,8,19,11.11
EDNRA,ednrab,24,2,2,92.31
EDNRB,ednrba,22,1,1,95.65
EDNRB,ednrbb,23,0,1,100.0
F2R,f2r,15,6,7,71.43
F2RL1,f2rl1.1,15,12,2,55.56
F2RL1,f2rl1.2,19,7,3,73.08
F2RL2,f2rl2,12,11,5,52.17
FPR1,fpr1,9,7,9,56.25
FSHR,fshr,6,3,14,66.67
FZD1,fzd1,26,1,0,96.3
FZD10,fzd10,26,1,0,96.3
FZD2,fzd2,27,0,0,100.0
FZD3,fzd3a,24,2,0,92.31
FZD3,fzd3b,23,3,0,88.46
FZD4,fzd4,26,0,1,100.0
FZD5,fzd5,22,4,0,84.62
FZD6,fzd6,21,4,3,84.0
FZD7,fzd7a,26,0,0,100.0
FZD7,fzd7b,26,0,0,100.0
FZD8,fzd8a,25,1,0,96.15
FZD8,fzd8b,20,5,1,80.0
FZD9,fzd9a,23,2,2,92.0
FZD9,fzd9b,23,3,1,88.46
GABBR1,gabbr1a,23,0,3,100.0
GABBR1,gabbr1b,24,1,1,96.0
GABBR2,gabbr2,24,0,2,100.0
GALR1,galr1a,21,4,0,84.0
GALR1,galr1b,17,6,2,73.91
GALR2,galr2a,21,3,1,87.5
GALR2,galr2b,17,8,0,68.0
GCGR,gcgra,12,4,10,75.0
GCGR,gcgrb,19,5,2,79.17
GHRHR,ghrhra,15,9,2,62.5
GHRHR,ghrhrb,8,6,12,57.14
GHSR,ghsra,23,2,0,92.0
GHSR,ghsrb,22,3,0,88.0
GIPR,gipr,21,3,2,87.5
GPBAR1,gpbar1,6,10,6,37.5
GPER1,gper1,18,3,1,85.71
GPR101,gpr101,15,6,4,71.43
GPR12,gpr12,21,1,1,95.45
GPR132,gpr132a,6,2,20,75.0
GPR132,gpr132b,19,5,4,79.17
GPR135,gpr135,20,4,1,83.33
GPR139,gpr139,20,2,3,90.91
GPR142,gpr142,12,11,1,52.17
GPR146,gpr146,14,6,5,70.0
GPR151,gpr151,13,12,4,52.0
GPR153,gpr153,20,4,4,83.33
GPR156,gpr156,5,10,6,33.33
GPR158,gpr158a,21,0,5,100.0
GPR158,gpr158b,19,3,4,86.36
GPR160,gpr160,4,13,5,23.53
GPR161,gpr161b,19,5,2,79.17
GPR17,gpr17,15,14,1,51.72
GPR171,gpr171,16,7,4,69.57
GPR173,gpr173,20,4,0,83.33
GPR174,gpr174,19,8,2,70.37
GPR176,gpr176,15,8,2,65.22
GPR18,gpr18,18,7,2,72.0
GPR183,gpr183a,18,10,0,64.29
GPR183,gpr183b,16,12,0,57.14
GPR19,gpr19,17,5,0,77.27
GPR20,gpr20,22,4,0,84.62
GPR22,gpr22a,26,2,1,92.86
GPR22,gpr22b,25,2,2,92.59
