human gene,zebrafish gene,matched,similarity,mismatched,failed alignments,% identity,% similarity
ACKR3,ackr3a,0,0,1,20,0.0,0.0
ACKR3,ackr3b,8,10,2,11,80.0,100.0
ACKR4,ackr4b,6,7,2,3,75.0,87.5
ADCYAP1R1,adcyap1r1a,8,9,1,2,88.89,100.0
ADGRA1,adgra1a,1,4,6,16,14.29,57.14
ADGRA2,adgra2,13,15,4,2,76.47,88.24
ADGRA3,adgra3,15,17,4,1,78.95,89.47
ADGRB1,adgrb1a,15,17,2,5,88.24,100.0
ADGRB1,adgrb1b,20,22,2,0,90.91,100.0
ADGRB2,adgrb2,21,22,1,0,95.45,100.0
ADGRB3,adgrb3,0,0,1,22,0.0,0.0
ADGRD1,adgrd1,1,1,2,5,33.33,33.33
ADGRD2,adgrd2,3,4,2,7,60.0,80.0
ADGRE5,adgre5a,0,0,0,19,0.0,0.0
ADGRE5,adgre5b.2,4,5,3,12,57.14,71.43
ADGRE5,adgre5b.3,0,0,0,19,0.0,0.0
ADGRF3,adgrf3a,4,5,1,12,80.0,100.0
ADGRF3,adgrf3b,6,6,1,10,85.71,85.71
ADGRG1,adgrg1,4,5,4,4,50.0,62.5
ADGRG2,adgrg2a,4,4,0,5,100.0,100.0
ADGRG6,adgrg6,3,3,1,7,75.0,75.0
ADGRG7,adgrg7.2,2,3,3,6,40.0,60.0
ADGRL1,adgrl1a,13,13,0,2,100.0,100.0
ADGRL2,adgrl2a,10,11,1,5,90.91,100.0
ADGRL2,adgrl2b.1,0,0,0,16,0.0,0.0
ADGRL3,adgrl3.1,9,10,1,1,90.0,100.0
ADGRL4,adgrl4,9,10,2,1,81.82,90.91
ADORA1,adora1b,12,12,2,3,85.71,85.71
ADORA2A,adora2aa,15,18,3,3,83.33,100.0
ADORA2A,adora2ab,14,16,3,4,82.35,94.12
ADORA2B,adora2b,16,17,3,4,84.21,89.47
ADRA1A,adra1aa,12,14,3,2,80.0,93.33
ADRA1A,adra1ab,12,14,3,2,80.0,93.33
ADRA1B,adra1ba,9,11,2,7,81.82,100.0
ADRA1B,adra1bb,9,11,3,6,75.0,91.67
ADRA1D,adra1d,16,17,1,0,94.12,100.0
ADRA2A,adra2a,8,8,0,10,100.0,100.0
ADRA2B,adra2b,11,11,4,1,73.33,73.33
ADRA2C,adra2c,14,14,1,3,93.33,93.33
ADRB1,adrb1,6,6,1,15,85.71,85.71
ADRB2,adrb2a,11,15,8,4,57.89,78.95
ADRB2,adrb2b,12,14,5,6,70.59,82.35
ADRB3,adrb3a,8,9,2,13,80.0,90.0
ADRB3,adrb3b,10,12,4,9,71.43,85.71
AGTR1,agtr1a,5,7,3,17,62.5,87.5
AGTR1,agtr1b,4,4,1,20,80.0,80.0
AGTR2,agtr2,8,9,2,17,80.0,90.0
APLNR,aplnra,0,0,0,20,0.0,0.0
APLNR,aplnrb,0,0,0,20,0.0,0.0
AVPR1A,avpr1aa,11,14,3,12,78.57,100.0
AVPR1A,avpr1ab,10,12,2,14,83.33,100.0
AVPR2,avpr2aa,4,5,1,15,80.0,100.0
AVPR2,avpr2ab,4,6,2,14,66.67,100.0
BDKRB1,bdkrb1,3,7,8,8,27.27,63.64
C5AR1,c5ar1,1,3,9,7,10.0,30.0
CALCR,calcr,3,3,0,2,100.0,100.0
CALCRL,calcrla,5,5,2,0,71.43,71.43
CALCRL,calcrlb,4,4,2,1,66.67,66.67
CASR,casr,24,24,1,3,96.0,96.0
CCKAR,cckar,15,17,3,3,83.33,94.44
CCKBR,cckbra,10,12,4,9,71.43,85.71
CCR10,ccr10,1,1,5,7,16.67,16.67
CCR2,ccr2,3,4,4,13,42.86,57.14
CCR6,ccr6a,4,5,3,7,57.14,71.43
CCR6,ccr6b,2,3,4,8,33.33,50.0
CCR7,ccr7,7,9,4,5,63.64,81.82
CCR8,ccr8.1,0,1,1,13,0.0,100.0
CCR9,ccr9a,6,7,2,9,75.0,87.5
CCR9,ccr9b,4,5,4,9,50.0,62.5
CELSR1,celsr1a,0,0,0,2,0.0,0.0
CELSR1,celsr1b,0,0,0,2,0.0,0.0
CELSR3,celsr3,0,1,2,13,0.0,50.0
CHRM1,chrm1a,13,14,4,5,76.47,82.35
CHRM2,chrm2a,16,16,1,4,94.12,94.12
CHRM2,chrm2b,15,15,3,3,83.33,83.33
CHRM3,chrm3a,2,2,0,18,100.0,100.0
CHRM3,chrm3b,7,7,0,13,100.0,100.0
CHRM4,chrm4a,16,18,3,1,84.21,94.74
CHRM4,chrm4b,9,14,7,4,56.25,87.5
CHRM5,chrm5a,0,0,2,13,0.0,0.0
CHRM5,chrm5b,0,0,2,13,0.0,0.0
CMKLR1,cmklr1,3,6,6,15,33.33,66.67
