human gene,zebrafish gene,matched,mismatched,failed alignments,% similarity
ACKR3,ackr3a,0,4,19,0.0
ACKR3,ackr3b,1,3,19,25.0
ACKR4,ackr4b,14,6,2,70.0
ADCYAP1R1,adcyap1r1a,0,3,23,0.0
ADGRA1,adgra1a,15,8,1,65.22
ADGRA2,adgra2,1,1,24,50.0
ADGRA3,adgra3,13,10,1,56.52
ADGRB1,adgrb1a,26,0,1,100.0
ADGRB1,adgrb1b,25,0,2,100.0
ADGRB2,adgrb2,0,3,23,0.0
ADGRB3,adgrb3,0,6,17,0.0
ADGRD1,adgrd1,1,3,21,25.0
ADGRD2,adgrd2,19,3,2,86.36
ADGRE5,adgre5a,1,1,23,50.0
ADGRE5,adgre5b.2,14,7,4,66.67
ADGRE5,adgre5b.3,5,3,17,62.5
ADGRF3,adgrf3a,7,3,13,70.0
ADGRF3,adgrf3b,6,5,12,54.55
ADGRG1,adgrg1,1,4,22,20.0
ADGRG2,adgrg2a,7,2,19,77.78
ADGRG6,adgrg6,9,5,12,64.29
ADGRG7,adgrg7.2,3,1,23,75.0
ADGRL1,adgrl1a,22,2,0,91.67
ADGRL2,adgrl2a,22,2,1,91.67
ADGRL2,adgrl2b.1,1,0,24,100.0
ADGRL3,adgrl3.1,20,0,4,100.0
ADGRL4,adgrl4,18,3,2,85.71
ADORA1,adora1b,20,3,3,86.96
ADORA2A,adora2aa,0,3,21,0.0
ADORA2A,adora2ab,4,0,20,100.0
ADORA2B,adora2b,0,4,21,0.0
ADRA1A,adra1aa,1,7,15,12.5
ADRA1A,adra1ab,0,3,20,0.0
ADRA1B,adra1ba,1,4,22,20.0
ADRA1B,adra1bb,0,4,23,0.0
ADRA1D,adra1d,0,4,19,0.0
ADRA2A,adra2a,5,1,22,83.33
ADRA2B,adra2b,21,3,1,87.5
ADRA2C,adra2c,0,5,17,0.0
ADRB1,adrb1,0,1,21,0.0
ADRB2,adrb2a,1,1,23,50.0
ADRB2,adrb2b,0,1,24,0.0
ADRB3,adrb3a,0,4,19,0.0
ADRB3,adrb3b,1,6,16,14.29
AGTR1,agtr1a,0,5,19,0.0
AGTR1,agtr1b,0,4,20,0.0
AGTR2,agtr2,0,7,16,0.0
APLNR,aplnra,1,4,19,20.0
APLNR,aplnrb,0,3,21,0.0
AVPR1A,avpr1aa,0,3,21,0.0
AVPR1A,avpr1ab,0,8,16,0.0
AVPR2,avpr2aa,1,3,18,25.0
AVPR2,avpr2ab,1,3,18,25.0
BDKRB1,bdkrb1,0,3,19,0.0
C5AR1,c5ar1,4,1,21,80.0
CALCR,calcr,21,1,2,95.45
CALCRL,calcrla,22,3,0,88.0
CALCRL,calcrlb,21,3,1,87.5
CASR,casr,20,2,3,90.91
CCKAR,cckar,0,6,21,0.0
CCKBR,cckbra,19,7,1,73.08
CCR10,ccr10,0,7,17,0.0
CCR2,ccr2,0,9,15,0.0
CCR6,ccr6a,0,5,19,0.0
CCR6,ccr6b,2,3,19,40.0
CCR7,ccr7,0,4,19,0.0
CCR8,ccr8.1,0,2,28,0.0
CCR9,ccr9a,1,3,20,25.0
CCR9,ccr9b,1,5,18,16.67
CELSR1,celsr1a,0,0,0,0.0
CELSR1,celsr1b,0,0,0,0.0
CELSR3,celsr3,0,0,2,0.0
CHRM1,chrm1a,3,1,18,75.0
CHRM2,chrm2a,1,10,12,9.09
CHRM2,chrm2b,19,3,1,86.36
CHRM3,chrm3a,0,4,13,0.0
CHRM3,chrm3b,0,4,13,0.0
CHRM4,chrm4a,1,4,17,20.0
CHRM4,chrm4b,0,5,17,0.0
CHRM5,chrm5a,2,2,19,50.0
CHRM5,chrm5b,0,5,18,0.0
CMKLR1,cmklr1,1,5,24,16.67
CMKLR2,cmklr2,0,5,14,0.0
CNR1,cnr1,0,3,21,0.0
CNR2,cnr2,9,4,7,69.23
CRHR1,crhr1,18,0,8,100.0
CRHR2,crhr2,0,1,30,0.0
CXCR1,cxcr1,13,2,11,86.67
CXCR2,cxcr2,15,7,4,68.18
CXCR3,cxcr3.1,13,7,6,65.0
CXCR3,cxcr3.2,17,7,2,70.83
CXCR4,cxcr4a,18,1,4,94.74
CXCR4,cxcr4b,19,2,2,90.48
CXCR5,cxcr5,1,2,19,33.33
CYSLTR1,cysltr1,0,0,17,0.0
DRD1,drd1a,21,0,6,100.0
DRD1,drd1b,0,6,21,0.0
DRD2,drd2a,1,3,15,25.0
DRD2,drd2b,0,3,16,0.0
DRD3,drd3,0,6,14,0.0
DRD4,drd4a,21,1,2,95.45
DRD4,drd4b,19,2,3,90.48
EDNRA,ednraa,23,3,0,88.46
EDNRA,ednrab,22,3,1,88.0
EDNRB,ednrba,0,5,20,0.0
EDNRB,ednrbb,0,1,24,0.0
F2R,f2r,10,4,11,71.43
F2RL1,f2rl1.1,0,4,25,0.0
F2RL1,f2rl1.2,18,8,3,69.23
F2RL2,f2rl2,12,13,3,48.0
FPR1,fpr1,0,3,23,0.0
FSHR,fshr,15,1,9,93.75
FZD1,fzd1,20,1,3,95.24
FZD10,fzd10,0,4,21,0.0
FZD2,fzd2,16,1,10,94.12
